         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
             val	               1	            1515	   Morgan3noFeat	            Dice	  0.483168316832	  0.691089108911	  0.782178217822	  0.877887788779	  0.918811881188	  0.926072607261
             val	             all	            5001	   Morgan3noFeat	            Dice	  0.379124175165	  0.561687662468	  0.647470505899	   0.75524895021	  0.840631873625	  0.863627274545
             val	              10	              23	   Morgan3noFeat	        TverskyA	   0.95652173913	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	   Morgan3noFeat	        TverskyA	  0.382513661202	  0.568306010929	  0.715846994536	  0.819672131148	  0.907103825137	  0.934426229508
             val	               8	              81	   Morgan3noFeat	        TverskyA	   0.79012345679	  0.925925925926	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	   Morgan3noFeat	        TverskyA	  0.566160520607	  0.726681127983	  0.822125813449	  0.911062906725	  0.939262472885	  0.943600867679
             val	               6	             824	   Morgan3noFeat	        TverskyA	  0.458737864078	  0.787621359223	  0.883495145631	  0.936893203883	  0.947815533981	  0.949029126214
             val	               5	              67	   Morgan3noFeat	        TverskyA	  0.940298507463	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	   Morgan3noFeat	        TverskyA	  0.538461538462	   0.67032967033	  0.681318681319	  0.681318681319	  0.681318681319	  0.681318681319
             val	               3	             566	   Morgan3noFeat	        TverskyA	  0.436395759717	  0.593639575972	  0.662544169611	  0.763250883392	   0.83038869258	  0.872791519435
             val	               2	            1190	   Morgan3noFeat	        TverskyA	  0.639495798319	   0.86218487395	  0.910084033613	  0.950420168067	  0.955462184874	  0.956302521008
             val	               1	            1515	   Morgan3noFeat	        TverskyA	  0.490429042904	   0.69702970297	  0.780198019802	  0.874587458746	  0.914191419142	  0.921452145215
             val	             all	            5001	   Morgan3noFeat	        TverskyA	  0.379324135173	   0.56148770246	  0.647270545891	  0.756048790242	  0.833833233353	  0.858428314337
             val	              10	              23	   Morgan3noFeat	        TverskyB	  0.913043478261	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	   Morgan3noFeat	        TverskyB	  0.366120218579	  0.573770491803	   0.72131147541	  0.846994535519	  0.912568306011	  0.950819672131
             val	               8	              81	   Morgan3noFeat	        TverskyB	  0.777777777778	  0.925925925926	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	   Morgan3noFeat	        TverskyB	  0.555314533623	   0.72885032538	  0.822125813449	  0.919739696312	  0.939262472885	  0.947939262473
             val	               6	             824	   Morgan3noFeat	        TverskyB	  0.466019417476	  0.765776699029	  0.882281553398	  0.936893203883	  0.945388349515	  0.950242718447
             val	               5	              67	   Morgan3noFeat	        TverskyB	  0.955223880597	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	   Morgan3noFeat	        TverskyB	  0.527472527473	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	   Morgan3noFeat	        TverskyB	  0.448763250883	  0.595406360424	  0.664310954064	  0.752650176678	  0.828621908127	  0.865724381625
             val	               2	            1190	   Morgan3noFeat	        TverskyB	  0.629411764706	  0.846218487395	  0.903361344538	  0.947899159664	  0.955462184874	  0.956302521008
             val	               1	            1515	   Morgan3noFeat	        TverskyB	  0.481188118812	  0.691089108911	  0.782838283828	  0.869306930693	  0.918811881188	  0.925412541254
             val	             all	            5001	   Morgan3noFeat	        TverskyB	  0.372525494901	   0.55548890222	  0.640871825635	  0.752449510098	  0.838432313537	  0.865426914617
             val	              10	              23	     Morgan2Feat	        Tanimoto	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan2Feat	        Tanimoto	  0.377049180328	  0.579234972678	  0.655737704918	  0.792349726776	  0.863387978142	  0.912568306011
             val	               8	              81	     Morgan2Feat	        Tanimoto	   0.79012345679	  0.950617283951	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan2Feat	        Tanimoto	  0.566160520607	  0.722342733189	  0.817787418655	  0.902386117137	  0.939262472885	  0.945770065076
             val	               6	             824	     Morgan2Feat	        Tanimoto	  0.483009708738	  0.790048543689	  0.898058252427	  0.945388349515	  0.955097087379	  0.956310679612
             val	               5	              67	     Morgan2Feat	        Tanimoto	  0.910447761194	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	     Morgan2Feat	        Tanimoto	  0.516483516484	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan2Feat	        Tanimoto	  0.409893992933	  0.567137809187	  0.641342756184	  0.724381625442	  0.818021201413	  0.853356890459
             val	               2	            1190	     Morgan2Feat	        Tanimoto	  0.610924369748	  0.847899159664	  0.910084033613	  0.947899159664	  0.954621848739	  0.954621848739
             val	               1	            1515	     Morgan2Feat	        Tanimoto	  0.499669966997	  0.676567656766	  0.762376237624	  0.852145214521	  0.907590759076	  0.915511551155
             val	             all	            5001	     Morgan2Feat	        Tanimoto	  0.376124775045	  0.549090181964	  0.637272545491	   0.73925214957	  0.822635472905	  0.858428314337
